,date,time,location,operator,flight #,pathway,type,registration,cn/in,aboard,fatalities,ground,summary
4643,07/16/1999,21:41,"off martha's vineyard, massachusetts",private,-,"fairfield, n.j. - martha's vineyard, ma",piper pa-32-r301 saratoga ii hp,n9253n,3213100,3.0,3,0.0,"the aircraft, piloted by john f. kennedy jr., 38, crashed into the sea approximately 34 miles west of martha's vineyard while en route from fairfield, new jersey to martha's vineyard, massachusetts. killed along with kennedy were his wife carolyn and her sister lauren bessette. kennedy's failure to maintain control of the airplane during a descent over water at night, which was a result of spatial disorientation. contributing factors in the accident were haze, and the dark night."
4644,07/20/1999,11:00,"near bluefields, nicaragua",la costena,046,managua - bluefields,cessna 208b grand caravan,yn-ced,208b-0341,16.0,16,0.0,"crashed into a hill at 2,000 ft. while flying vfr in low clouds and rain while approaching bluefields. the pilot-in-command descended below safe minimum height of 2,700 ft."
4647,07/24/1999,05:35,"nasevou village, fiji",air fiji,121,nausori - nadi,embraer 110p1 bandeirante,dq-afn,110416,17.0,17,0.0,"the plane crashed into a mountainside at an altitude of about 1,800 feet about 15 minutes after taking off from nausori airport bound for nadi international airport. the plane was observed by witnesses flying low prior to the crash. the wreckage indicated the aircraft descended until the right wing hit a line of trees at the 1,300 ft. elevation. it was determined the captain had insufficient sleep prior to the flight and had consumed an  excessive amount  antihistamine both of which may have influenced his performance. published operational standards by air fiji, inadequate for the particular type of aircraft."
4648,07/31/1999,08:30,"marine city, michigan",private,-,sky diving,beech king air 65-a90,n518dm,lj-251,10.0,10,0.0,"the aircraft, which was carrying members of a skydiving club, crashed shortly after taking off from marine city airport. witnesses reported the plane banked hard to the right and flew into the ground. the aircraft was destroyed by fire. the pilot's failure to maintain adequate airspeed, which resulted in a stall, inflight loss of control and collision with the ground."
4649,08/07/1999,12:00,"santo antao, cape verde islands",tacv-cabo verde airlines,5002,sao vicente - santo antao,dornier 228-201,d4-cbc,8091,18.0,18,0.0,"the aircraft, which was chartered from the cape verde coast guard, crashed into a cliff near ponta do sol airfield in the cape verde islands in fog and rain. the plane was returning to the island of sao vicente where it originally departed  due to poor weather conditions over the destination city. the pilot possibly lost visibility due to the fog and rain and crashed into a cliff in santo antao."
4650,08/12/1999,23:58,"sept-îles, canada",regionnair,347,port-menier - sept-iles,beechcraft 1900d,c-flih,ue-347,4.0,1,0.0,crashed after being cleared to land on runway 31 using a straight-in approach at sept-îles airport. the crew descended the aircraft well below safe minimum altitude while in instrument meteorological conditions and without having established any visual contact with the runway environment.
4652,08/24/1999,12:36,"hualian, taiwan",uni air,873,taipei - hualian,mcdonnell douglas md-90-30,b-17912,53536/2160,96.0,1,0.0,"a fire in the front portion of the cabin, in the overhead luggage compartment, caused thick black smoke to accumulate in the cabin.  accidental ignition of gas taken aboard in 2 bleach and softner bottles, stored in a overhead locker."
4654,08/31/1999,20:55,"buenos aires, argentina","lapa, lineas aereas privadas argentinas",3142,buenos aires - cordoba,boeing b-737-204c,lv-wrz,20389/251,103.0,64,10.0,"while attempting to take off from jorge newberry airport, the crew aborted takeoff, overran the runway, skidded across a service road and crashed into several cars and into a golf course, bursting into flames.  the crew had the wrong flap selection for takeoff."
4656,09/03/1999,12:50,"glasgow, scotland",edinburgh air charter,-,glasgow - aberdeen,cessna 404 titan ambassador,g-ilgw,404-0690,11.0,8,0.0,"shortly after takeoff  the plane was observed going into a right bank after which it crashed and burned. catastrophifailure of the left engine. the pilot then, mistakenly, feathered the right engine. this resulted in total loss of power and loss of control of the aircraft."
4658,09/05/1999,10:30,"near kathmandu, nepal",necon air,128,pokhara - kathmandu,hawker siddeley hs-748-501 super 2b,9n-aeg,1806,15.0,15,0.0,"while on approach to tribhuvan international airport, the aircraft struck a telecommunication tower with its left wing and crashed onto slopes of a wooded area, 6 miles southwest of the airport."
4662,09/25/1999,17:25,"mt. mauna loa, hawaii",big island airlines,58,sightseeing,piper pa-31-350 navajo chieftain,n411wl,31-8352039,10.0,10,0.0,"the sightseeing plane crashed on the northeast slopes of mauna loa volcano on the island of hawaii at an altitude of about 10,500 feet. the pilot's decision to continue visual flight into instrument meteorological conditions (imc) in an area of cloud-covered mountainous terrain. contributing to the accident were the pilot's failure to properly navigate and his disregard for standard operating procedures, including flying into imc while on a visual flight rules flight plan and failure to obtain a current preflight weather briefing."
4667,10/31/1999,06:52,"off nantucket island, massachusetts",egyptair,990,new york city - cairo,boeing b-767-366er,su-gap,24542/282,217.0,217,0.0,"the plane took off from jfk at 1:19 a.m. bound for cairo, egypt. thirty-three minutes later, after attaining an altitude of 33,000 feet, it was observed on radar in an extremely rapid descent. the aircraft was observed in a 66 degree dive at 483 knots. the descent continued to 16,700 feet after which the aircraft climbed to 24,000 ft.   after that, the plane began a second dive and broke up at around 10,000 ft. crashing into the atlantiocean, 60 miles southeast of nantucket island.  the aircraft was named thutmosis iii. the accident was caused by the relief first officer's flight control inputs which caused the airplane's departure from normal cruise flight and subsequent impact with the atlantiocean. the reason for the first officer's actions were not determined by the ntsb. one could conclude the actions were deliberate in an attempt to commit suicide."
4670,11/09/1999,19:03,"near uruapan, mexico",taesa,725,uruapan - mexico city,mcdonnell douglas dc-9-31,xa-tkn,47418/570,18.0,18,0.0,"the plane was on a flight from tujuana to mexico city, with stops at guadalajara and uruapan. after reaching uruapan, seventy-eight passengers deplaned.one minute after taking off from uruapan, the crew declared an emergency without saying what was wrong. a few minutes later the plane went into a steep dive and crashed in a mountainous area 3.3 miles south of the airport. some witnesses stated the plane was on fire before it hit the ground."
4671,11/12/1999,11:13,"near pristina, kosovo",si fly - u.n. charter,3275,rome - pristina,aerospatiale alenia atr-42,f-ohfv,12,24.0,24,0.0,"the plane was on a flight from rome, italy to pristina, kosovo with a stop at tirana, albania. the plane disappeared from radar and crashed about 10 miles north of pristina into a hill in poor weather. the plane was a u.n. charter flight on a routine humanitarian mission to distribute food. lack of procedural discipline and vigilance during flight in mountainous terrain. improper tracking by the military atc. crew fatigue.  inoperable gpws."
4674,12/06/1999,07:06,"johannesburg, south africa",charter - flightline charter services,-,"johannesburg, south africa  - oranjemund, namibia",piper pa-31-350,zs-ojy,31-7405210,9.0,9,0.0,"shortly after takeoff, the pilot declared an engine failure. seconds later he stated 'we are going down sir, we are going down.' the plane crashed 2 nm to the right of runway 29 and burst into flames.  failure of the exhaust pipe segment which caused the right hand engine to lose power and fail. the aircraft was overloaded. the company's lack of flight operations management experience."
